collective,op,data_size,algorithm,protocol,channel_id,flow_id,src,dest,flow_size,chunk_id,chunk_count,conn_type,parent_flow_ids,prev_flow_ids
DP_0_0_0_4_4194304,4,4194304,1,0,0,39,5,4,524288,0,1,RING,,0;1;2;3;4;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,40,5,6,524288,0,1,RING,,0;1;2;3;4;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,41,5,7,524288,0,1,RING,,0;1;2;3;4;6;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,42,6,0,524288,0,1,RING,,0;1;2;3;4;5;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,43,6,1,524288,0,1,RING,,0;1;2;3;4;5;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,44,6,2,524288,0,1,RING,,0;1;2;3;4;5;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,45,6,3,524288,0,1,RING,,0;1;2;3;4;5;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,46,6,4,524288,0,1,RING,,0;1;2;3;4;5;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,47,6,5,524288,0,1,RING,,0;1;2;3;4;5;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,48,6,7,524288,0,1,RING,,0;1;2;3;4;5;7
DP_0_0_0_4_4194304,4,4194304,1,0,0,49,7,0,524288,0,1,RING,,0;1;2;3;4;5;6
DP_0_0_0_4_4194304,4,4194304,1,0,0,50,7,1,524288,0,1,RING,,0;1;2;3;4;5;6
DP_0_0_0_4_4194304,4,4194304,1,0,0,51,7,2,524288,0,1,RING,,0;1;2;3;4;5;6
DP_0_0_0_4_4194304,4,4194304,1,0,0,52,7,3,524288,0,1,RING,,0;1;2;3;4;5;6
DP_0_0_0_4_4194304,4,4194304,1,0,0,53,7,4,524288,0,1,RING,,0;1;2;3;4;5;6
DP_0_0_0_4_4194304,4,4194304,1,0,0,54,7,5,524288,0,1,RING,,0;1;2;3;4;5;6
DP_0_0_0_4_4194304,4,4194304,1,0,0,55,7,6,524288,0,1,RING,,0;1;2;3;4;5;6
